"KEY","EN","ES"
"CL_10#1","take","tomar"
"CL_10#2","look","mira"
"CL_11#1","diets","dietas"
"CL_11#2","hours","horas"
"CL_12#1","little","poco"
"CL_12#2","nausea","náuseas"
"CL_13#1","thigh","muslo"
"CL_13#2","toast","brindis"
"CL_14#1","before","antes"
"CL_14#2","midnight","medianoche"
"CL_15#1","drank","bebió"
"CL_15#2","eat","comer"
"CL_16#1","any","cualquiera"
"CL_16#2","all","todos"
"CL_17#1","was","se"
"CL_17#2","had","tuvo"
"CL_18#1","clinic","clínica"
"CL_18#2","breakfast","desayuno"
"CL_19#1","dose","dosis"
"CL_19#2","drink","beber"
"CL_2#1","Male","masculino"
"CL_2#2","Female","femenino"
"CL_20#1","cancer","cáncer"
"CL_20#2","water","agua"
"CL_21#1","tracts","extensiones"
"CL_21#2","questions","preguntas"
"CL_22#1","Department","Departamento"
"CL_22#2","Toothache","Dolor de muelas"
"CL_23#1","ache","Dolor"
"CL_23#2","see","ver"
"CL_24#1","agree","de acuerdo"
"CL_24#2","gain","ganar"
"CL_25#1","discharge","descarga"
"CL_25#2","prove","demostrar"
"CL_26#1","relationship","relación"
"CL_26#2","application","Aplicación"
"CL_27#1","iron","hierro"
"CL_27#2","county","condado"
"CL_28#1","establish","establecer"
"CL_28#2","understand","entender"
"CL_29#1","changes","cambios"
"CL_29#2","charges","cargos"
"CL_3#1","Black or African American","Negro o afroamericano"
"CL_3#2","White","Blanca"
"CL_3#3","Asian","Asia"
"CL_3#4","American Indian or Alaska Native","Indio Americano o Nativo de Alaska"
"CL_3#5","Native Hawaiian or Other Pacific Islander","Nativo de Hawai u otra isla del Pacífico"
"CL_3#6","Some Other Race","Alguna otra raza"
"CL_30#1","five","cinco"
"CL_30#2","ten","diez"
"CL_31#1","await","esperan"
"CL_31#2","aware","consciente"
"CL_32#1","than","que"
"CL_32#2","that","que"
"CL_33#1","adult","adultos"
"CL_33#2","decision","decisión"
"CL_34#1","wrong","mal"
"CL_34#2","right","derecho"
"CL_35#1","request","solicitud"
"CL_35#2","mend","reparar"
"CL_36#1","smelling","olor"
"CL_36#2","calling","llamando"
"CL_37#1","tape","cinta"
"CL_37#2","want","quiero"
"CL_38#1","member","miembro"
"CL_38#2","seatbelt","cinturón de seguridad"
"CL_39#1","inhale","inhale"
"CL_39#2","sign","signo"
"CL_4#1","Hispanic or Latino","Hispanos o latinos"
"CL_4#2","Not Hispanic or Latino","No Hispano o Latino"
"CL_40#1","because","porque"
"CL_40#2","however","Sin embargo"
"CL_41#1","pelvic","pélvica"
"CL_41#2","date","fecha"
"CL_42#1","schizophrenia","la esquizofrenia"
"CL_42#2","eligibility","elegibilidad"
"CL_43#1","Poor","Pobres"
"CL_43#2","Fair","Feria"
"CL_43#3","Good","Bueno"
"CL_43#4","Very Good","Muy bueno"
"CL_43#5","Excellent","Excelente"
"CL_44#1","All the time","Todo el tiempo"
"CL_44#2","Often","A menudo"
"CL_44#3","Sometimes","A veces"
"CL_44#4","Rarely","Rara vez"
"CL_44#5","Never","Nunca"
"CL_45#1","Never","Nunca"
"CL_45#2","Rarely","Rara vez"
"CL_45#3","Sometimes","A veces"
"CL_45#4","Fairly Often","Bastante a menudo"
"CL_45#5","Frequently","Con frecuencia"
"CL_46#1","Not at all","No, en absoluto"
"CL_46#2","Several Days","Varios días"
"CL_46#3","More than half the days","Más de la mitad del día"
"CL_46#4","Nearly every day","Casi todos los días"
"CL_47#1","Not difficult at all","No es difícil en absoluto"
"CL_47#2","Somewhat difficult","Algo difícil"
"CL_47#3","Very difficult","Muy difícil"
"CL_47#4","Extremely difficult","Extremadamente difícil"
"CL_48#1","Not at all","No, en absoluto"
"CL_48#2","Rarely","Rara vez"
"CL_48#3","Sometimes","A veces"
"CL_48#4","Often","A menudo"
"CL_48#5","Most of the Time","Mayor parte del tiempo"
"CL_5#1","Yes","Sí"
"CL_5#2","No","No"
"CL_6#1","Dating","Contactos"
"CL_6#2","Separated","Separados"
"CL_6#3","Divorced","Divorciado"
"CL_6#4","Widowed","Viudo"
"CL_6#5","Single","Solo"
"CL_7#1","stomach","estómago"
"CL_7#2","germs","gérmenes"
"CL_8#1","anemia","anemia"
"CL_8#2","empty","vacío"
"CL_9#1","if","si"
"CL_9#2","it","es"
"IG_CPCS_ALCOHOL_SCREENING","ALCOHOL_SCREENING","DE DETECCIÓN DE ALCOHOL"
"IG_CPCS_BNQ","BNQ","BNQ"
"IG_CPCS_COLON","COLON","COLON"
"IG_CPCS_CONDOM","CONDOM","CONDÓN"
"IG_CPCS_FALLS","FALLS","CAE"
"IG_CPCS_HEALTH","HEALTH","LA SALUD"
"IG_CPCS_INITIAL_QUESTIONS","INITIAL_QUESTIONS","PREGUNTAS INICIALES"
"IG_CPCS_INTIMATE_PARTNER_VIOLENCE","INTIMATE_PARTNER_VIOLENCE","VIOLENCIA DE PAREJA"
"IG_CPCS_LITERACY","LITERACY","LA ALFABETIZACIÓN"
"IG_CPCS_PHQ","PHQ","PHQ"
"IG_CPCS_PTSD","PTSD","Trastorno de estrés postraumático"
"I_CPCS_AGE","Section One: General Information  - How old are you?","Sección uno: Información General - ¿Cuántos años tienes?"
"I_CPCS_APPETITE","Poor appetitie or overeating","Pobres appetitie o comer en exceso"
"I_CPCS_BODY_MASS_INDEX","[[ BODY_MASS_INDEX : calculate / preload?? ]]","[[BODY_MASS_INDEX: calcular / precarga? ]]"
"I_CPCS_CONCENTRATION","Trouble concentrating on things, such as reading the newspaper or watching television","Dificultad para concentrarse en cosas tales como leer el periódico o viendo la televisión"
"I_CPCS_CONDOM_USER","Section Four  - How often do you use condoms with your sexual partner(s) when NOT trying to get pregnant?","Sección Cuarta - ¿Con qué frecuencia usa el condón con su pareja (s) cuando no se está tratando de quedarse embarazada?"
"I_CPCS_DENTIST","Has it been longer than one year since you have seen a dentist?","Ha pasado más de un año desde que usted ha visto a un dentista?"
